frame,pair,mode,count,warmup,normalized_time,total_sync_ms,submission_cpu_ms,prep_cpu_ms,prep_gpu_interval_ms,shadow_gpu_ms,main_gpu_ms,preskin_cpu_upload_ms,texture_upload_cpu_ms,texture_upload_bytes,geometry_upload_bytes,preskin_calls,main_instances,main_draws,main_mesh_instances,shadow_instances,shadow_draws,shadow_mesh_instances,alloc_bytes,gen0,gen1,restore_submit_ms,restore_drain_ms,restore_bytes,restore_alloc_bytes,normal_correction_cpu_upload_ms,normal_correction_upload_bytes
96,48,baseline,1000,0,0.78688526,16.0162,0.3385,0.0488,0.00668,4.19332,10.28172,0,0.0183,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0374,0.4191,214896,0,0,0
97,48,preskin,1000,0,0.78688526,12.8506,0.3525,0.544,0.04904,3.54428,7.34312,0.5195,0.0133,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.2084,107448
98,49,preskin,1000,0,0.8032787,12.1909,0.3156,0.5147,0.0438,3.3032,7.1156,0.4871,0.0165,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1794,107448
99,49,baseline,1000,0,0.8032787,15.3104,0.3703,0.0426,0.0056,3.82868,10.01876,0,0.0135,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0399,0.3067,214896,0,0,0
100,50,baseline,1000,0,0.8196721,16.4035,0.4295,0.0641,0.00592,3.97812,10.81048,0,0.0132,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0428,0.6323,214896,0,0,0
101,50,preskin,1000,0,0.8196721,13.6313,0.4607,0.5403,0.05224,3.80716,7.62132,0.5137,0.0156,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1851,107448
102,51,preskin,1000,0,0.8360656,11.9254,0.3394,0.5305,0.04576,3.27476,6.8614,0.5053,0.014700000000000001,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1913,107448
103,51,baseline,1000,0,0.8360656,15.4335,0.3254,0.0526,0.00604,3.96008,10.14228,0,0.0236,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0443,0.3176,214896,0,0,0
104,52,baseline,1000,0,0.852459,15.7052,0.3394,0.0502,0.00648,4.08392,10.27304,0,0.0183,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0624,0.4483,214896,0,0,0
105,52,preskin,1000,0,0.852459,12.7394,0.3409,0.5316,0.04636,3.48068,7.2612,0.5081,0.0122,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1939,107448
106,53,preskin,1000,0,0.86885244,12.416,0.3446,0.5739,0.03888,3.01216,6.76448,0.551,0.0117,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.2249,107448
107,53,baseline,1000,0,0.86885244,15.2783,0.2905,0.0391,0.00612,3.86276,10.10192,0,0.0142,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0312,0.284,214896,0,0,0
108,54,baseline,1000,0,0.8852459,15.9124,0.3386,0.0494,0.00608,4.14844,10.20528,0,0.0182,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0402,0.4616,214896,0,0,0
109,54,preskin,1000,0,0.8852459,12.5656,0.3421,0.5345,0.04556,3.40988,7.13592,0.5066,0.0168,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1916,107448
110,55,preskin,1000,0,0.90163934,11.563,0.2869,0.4684,0.04332,3.14092,6.76016,0.4495,0.01,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1759,107448
111,55,baseline,1000,0,0.90163934,15.1415,0.2972,0.0396,0.00588,3.96612,9.90416,0,0.0129,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0261,0.3302,214896,0,0,0
112,56,baseline,1000,0,0.91803277,15.3229,0.3376,0.0443,0.0062,4.09792,9.87236,0,0.0139,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0376,0.3662,214896,0,0,0
113,56,preskin,1000,0,0.91803277,12.0806,0.3461,0.5297,0.04424,3.2166,6.9378,0.509,0.011200000000000002,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.192,107448
114,57,preskin,1000,0,0.93442625,12.5086,0.4144,0.5858,0.045,3.26756,7.32856,0.5615,0.0111,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.2199,107448
115,57,baseline,1000,0,0.93442625,16.4246,0.336,0.0458,0.00604,4.21948,10.7728,0,0.0156,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0442,0.3188,214896,0,0,0
116,58,baseline,1000,0,0.9508197,15.9639,0.3428,0.0497,0.00652,4.31848,10.26092,0,0.0183,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0384,0.3144,214896,0,0,0
117,58,preskin,1000,0,0.9508197,11.5819,0.46,0.5826,0.04104,3.1212,6.45668,0.5595,0.0116,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.2129,107448
118,59,preskin,1000,0,0.9672131,12.0717,0.3437,0.4507,0.04132,3.19492,7.0752,0.429,0.0152,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1637,107448
119,59,baseline,1000,0,0.9672131,15,0.297,0.0423,0.00588,3.8088,9.88044,0,0.015899999999999997,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0354,0.336,214896,0,0,0
